home_team,average_home_distance,average_away_distance,scorekeeper_bias_adjustment
NYI,34.33644053114105,36.06931807454077,1.7328775433997166
CHI,33.953258984096614,35.45186560787243,1.4986066237758138
L.A,34.534557397846974,35.95592273202776,1.421365334180784
STL,33.95206859238478,35.18257163739858,1.2305030450138048
ANA,34.31332450854532,35.46540672934833,1.1520822208030097
T.B,33.81079886161081,34.96050052677317,1.149701665162354
CAR,34.64879792328936,35.63412856438354,0.9853306410941798
CGY,35.608661543373664,36.586765321430455,0.9781037780567914
DET,34.78150055892467,35.72008541676461,0.9385848578399418
EDM,33.827589533632604,34.58073295368695,0.753143420054343
VAN,35.04559421380455,35.676747478809176,0.6311532650046274
NYR,34.165647838423624,34.6318004699742,0.4661526315505782
WSH,35.596131100701335,35.88864562934636,0.2925145286450217
WPG,35.01733286193537,35.18366989828714,0.16633703635177
FLA,35.19980397333386,35.21091514462835,0.0111111712944946
NSH,35.03257340146879,35.00281802662347,-0.0297553748453154
PIT,35.55695635245982,35.49593504836693,-0.0610213040928897
DAL,35.690832075468784,35.50209747921375,-0.1887345962550313
VGK,35.48041849006698,35.2045089597091,-0.2759095303578789
S.J,35.518716322971166,35.22114872435395,-0.2975675986172135
N.J,35.99566397561613,35.53777953187533,-0.4578844437408023
ARI,35.442942302922,34.94828888126376,-0.4946534216582421
TOR,34.38575917588166,33.81920238632441,-0.5665567895572465
CBJ,36.004817238402794,35.403012846647066,-0.6018043917557279
MTL,35.783739186597835,35.04850033004412,-0.735238856553714
OTT,35.83193492318503,35.021662474482845,-0.810272448702186
BUF,36.368105135759855,35.39107833717785,-0.9770267985820028
SEA,36.3522942688989,35.23068471983233,-1.1216095490665694
COL,36.53723946815631,35.26721887505856,-1.2700205930977475
BOS,37.30231557403055,35.703207342548545,-1.5991082314820062
PHI,37.44554439367902,35.37501324032542,-2.070531153353599
MIN,37.76959926013955,35.57595565253785,-2.1936436076017003
UTA,0.0,0.0,0.0
