team,projected_ff,projected_fa,projected_fpm,projected_xgf,projected_xga,projected_xgpm,projected_shooting,projected_saving
CAR,9.930851403420895,-6.828285639352186,16.759137042773084,0.6456132725317444,-0.3987885611341792,1.0444018336659235,-0.001252497741175,-0.001916965954815
EDM,5.944987801909603,-4.548354624750467,10.493342426660073,0.5401336387676199,-0.1969625749461189,0.7370962137137389,0.0033180048552568,-0.0004778302872973
VGK,4.504495190860784,-3.390943706938005,7.895438897798789,0.3512574793623124,-0.2897998390514473,0.6410573184137598,0.0054650920662971,-0.0014362689456386
COL,5.727647794682894,-3.6090698599465183,9.33671765462941,0.4312631742913804,-0.1599726717623676,0.5912358460537481,0.0047969685411277,0.0002911842300707
DAL,2.2812337330755534,-4.243529876798103,6.524763609873657,0.3578874276388133,-0.2138086506126455,0.5716960782514589,0.0059595264824117,-0.0011700997745798
T.B,4.465014731682816,-2.5192777086922153,6.984292440375031,0.2754418707212623,-0.2741045146687381,0.5495463853900003,0.0068705399489622,-0.0004181837605347
FLA,4.789125199728334,-0.6670045552752568,5.456129755003591,0.2411969641604268,-0.2214053390448285,0.4626023032052553,-0.0007004201631414,-0.0008228912546841
N.J,3.6883439614727407,-0.3739261997953362,4.062270161268076,0.3848186620923017,-0.0723019405795397,0.4571206026718415,-0.0012879103603466,-0.0008377696431603
PIT,3.188074462380707,-1.4235508576901583,4.611625320070866,0.384073633478998,-0.0336117419383591,0.4176853754173572,0.0055963613915117,9.353883397973996e-05
TOR,2.86227646499768,-0.5424599562638813,3.4047364212615614,0.3520514721896285,-0.0623067531142255,0.4143582253038539,0.0073838071159004,-0.0022757568821716
L.A,3.647963783582245,-2.2709078981241237,5.918871681706369,0.1288356189292598,-0.2829552719269301,0.41179089085619,0.0023421273630745,0.0002779518022294
MIN,3.484747629415332,-0.0948213306198677,3.5795689600352003,0.3402869058447582,-0.0502309354997774,0.3905178413445357,0.000137453007547,-0.0001783421686938
UTA,2.327514613951652,-3.1808781449805443,5.508392758932197,0.2828398306553693,-0.1075235672083897,0.3903633978637589,0.0040270070012973,-0.0003659739036159
NYR,3.921556852709854,-1.4936986499811022,5.4152555026909575,0.2885973959879674,-0.0691881423874765,0.357785538375444,0.0043999482256364,-0.0011423855889853
BUF,5.249057683180804,-1.5911986920108487,6.840256375191654,0.327859065603685,0.0066379095771032,0.3212211560265817,0.0011301053979941,-0.0002821604111173
NSH,3.05670772007927,-1.7532963566350137,4.810004076714284,0.254510607954898,-0.0441552964541768,0.2986659044090748,0.0007015344377236,-0.0003090734378384
VAN,1.1621739328986993,-0.5194945960407543,1.6816685289394535,0.1872960231433374,-0.0658716809586305,0.253167704101968,0.0026801515094202,-0.0012605681810039
OTT,3.6566818940404,-3.335301497514777,6.991983391555177,0.1105587745071541,-0.1312465211192936,0.2418052956264477,-0.0011329576934541,-0.0019791370776126
WSH,1.0942724972730054,-1.1368421268318525,2.2311146241048574,0.1854636256654249,-0.044845941932235,0.23030956759766,0.0034612773835475,-0.0012591638110246
PHI,0.116749920133134,0.0531088444933856,0.0636410756397487,0.2258611742969662,0.0906328774465937,0.1352282968503725,-0.0003911569726566,0.0002958714129704
STL,0.1898334485065183,-0.9366542439244104,1.1264876924309286,0.0671940478215406,-0.0174790430394446,0.0846730908609852,0.0083286980814331,-0.0009762052335153
DET,1.3826957877537365,0.5947470269692148,0.7879487607845219,0.1545649576472347,0.0710365706452684,0.0835283870019662,0.0045980810080139,-0.000799785352188
CBJ,1.7526624683246097,0.3938610638788452,1.3588014044457646,0.1738505705527769,0.1057733515634722,0.0680772189893046,0.0068240075629974,-0.0007291657670518
CGY,1.878193307767636,-1.1298843770309792,3.0080776847986153,-0.0693193394054246,-0.108336179096085,0.0390168396906604,0.0005471346193142,-3.745684616839984e-06
WPG,0.3686160059022664,1.2286219354988452,-0.8600059295965792,0.0478871834823081,0.0255892694066013,0.0222979140757067,0.0026376206153841,-0.0022030815202357
BOS,-0.1069704172952982,-1.1092320256337154,1.0022616083384168,0.0569627217767281,0.0705790187617537,-0.0136162969850256,8.310852107074572e-05,-0.000372406376084
NYI,3.530779048355116,0.3983496335340322,3.1324294148210843,-0.0581391612122949,-0.0072275953427304,-0.0509115658695645,0.0045921628040369,-0.0004808533751393
MTL,0.6284222028289385,1.9280274475584291,-1.2996052447294908,0.3206488205929668,0.4492308648785436,-0.1285820442855768,0.0010061284108012,-0.0018867833510201
ANA,2.819116235911065,6.05110220454103,-3.231985968629965,0.0523568290932643,0.2448714965588981,-0.1925146674656337,0.0047605177897884,-0.0003281451724293
CHI,-2.428503386548914,0.9316327232199796,-3.3601361097688938,-0.2085045628575842,0.0404263344097173,-0.2489308972673016,0.0020152773294848,0.000209744292158
S.J,-1.215633700620232,-0.3447998474263109,-0.870833853193921,-0.1260787222040063,0.2089516775161038,-0.3350303997201103,0.0024219693608033,-0.000575817859871
SEA,-1.306112255972264,3.052288796762956,-4.35840105273522,-0.1432640641523298,0.2637109237337067,-0.4069749878860366,0.0022374634846254,-0.001075858019073
